REGION,LGA_NAME,WARD,VILLAGE,TECHNOLOGY IN USE,WATERPOINT,STATUS,LATITUDE,LONGITUDE
Coast,Bagamoyo,Yombo,Yombo,India mark II,Hand pump,Functional,-6.568758811,38.853984384
Coast,Bagamoyo,Yombo,Chasimba,Submersible,Domestic standpipe m,Not functional,-6.583870747,38.841740873
coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe m,Not functional,-6.583660505,38.838874258
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.583464574,38.838970355
Coast,Bagamoyo,Yombo,Chasimba,Nira/Tanira,Hand pump,Functional,-6.582711309,38.836771664
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.586188153,38.839163118
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.587755949,38.841995971
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.583122280,38.843219086
Coast,Mkuranga,Magawa,Mdimli,India mark II,Hand pump,Not functional,-7.422851835,39.283105270
Coast,Kisarawe,Kibuta,Kauzeni,Gravity,Domestic standpipe,Functional,-7.111348588,38.929211836
Coast,Kisarawe,Msanga,Mianzi,India Mark III,Hand pump,Not functional,-7.298419161,38.768656111
Coast,Kisarawe,Masaki,Masaki,Gravity,Hand pump,Not functional,-7.066005430,38.956956210
Coast,Kisarawe,Masaki,Masaki,Gravity,Hand pump,Not functional,-7.088457317,38.949637968
Coast,Kisarawe,Masaki,Gumba,Gravity,Hand pump,Not functional,-7.108923466,39.009971844
Coast,Kisarawe,Masaki,Gumba,Others,Others,Not functional,-7.118156030,38.987078570
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe m,Functional,-7.100937811,39.000121440
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe,Functional,-7.101066700,39.000493224
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe,Functional,-7.101790358,39.000108609
Coast,Kisarawe,Masaki,Gumba,Gravity,Hand pump,Not functional,-7.096026012,38.995638912
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Functional,-7.080854800,38.975102983
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Functional,-7.080640072,38.974554123
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Not functional,-6.991031972,38.976922963
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Functional,-7.009849852,38.974476267
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Not functional,-7.010354139,38.981990316
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Functional,-6.981886155,38.988872898
Coast,Kisarawe,Masaki,Songwe,Nira/Tanira,Hand pump,Not functional,-7.048149910,38.971235485
Coast,Kisarawe,Masaki,Sungwi,Nira/Tanira,Hand pump,Not functional,-7.051592506,38.970565886
Coast,Kisarawe,Masaki,Sungwi,Mono,Domestic standpipe,Not functional,-7.042271777,38.972999129
Coast,Kisarawe,Masaki,Sungwi,Gravity,Domestic standpipe,Functional,-7.041845475,38.973339380
Coast,Kisarawe,Masaki,Sungwi,Gravity,Domestic standpipe,Not functional,-7.041046425,38.973563766
Coast,Kisarawe,Masaki,Masaki,Mono,Domestic standpipe,Functional,-7.076908480,38.972569033
Coast,Kisarawe,Masaki,Masaki,Mono,Domestic standpipe,Functional,-7.076172802,38.973065532
Coast,Kisarawe,Kibuta,Masaki,Nira/Tanira,Hand pump,Not functional,-7.139382647,38.924896987
Coast,Kisarawe,Kibuta,kibuta,Gravity,Domestic standpipe m,Functional,-7.142217102,38.927772565
Coast,Kisarawe,Kibuta,kibuta,Gravity,Domestic standpipe m,Functional,-7.141772789,38.928267361
Coast,Kisarawe,Kibuta,Kibuta,Gravity,Domestic standpipe,Functional,-7.141707634,38.928278201
Coast,Kisarawe,Kibuta,Masaki,Nira/Tanira,Hand pump,Not functional,-7.145677361,38.916948777
Coast,Kisarawe,Kibuta,Kibuta mjini,India mark II,Hand pump,Not functional,-7.133759274,38.905860533
Coast,Mafia,Kiegeani,Kiegeani,Gravity,Domestic standpipe,Functional,-7.972663834,39.737885135
Coast,Kisarawe,Kibuta,Mtamba,Submersible,Others,Functional,-7.056419444,38.887731854
Coast,Kisarawe,Kibuta,Mtamba,Submersible,Others,Functional,-7.051401011,38.889730989
Coast,Kisarawe,Kibuta,Kauzeni,India Mark III,Hand pump,Not functional,-7.092753082,38.926420822
Coast,Kisarawe,Kibuta,Kauzeni,Afridev,Hand pump,Functional,-7.099749991,38.933979643
Coast,Kisarawe,Kibuta,Kauzeni,Gravity,Domestic standpipe,Functional,-7.111683920,38.928886235
Coast,Kisarawe,Kibuta,Bwama,Nira/Tanira,Hand pump,Not functional,-7.187306633,38.956018260
Coast,Kisarawe,Kibuta,Bwana,Submersible,Others,Functional,-7.189064081,38.959039400
Coast,Kisarawe,Kibuta,Bwama,India Mark III,Hand pump,Functional,-7.187812740,38.958965315
Coast,Kisarawe,Kibuta,Masanganya,Gravity,Domestic standpipe,Not functional,-7.163564392,38.904874033
Coast,Kisarawe,Kibuta,Masanganya,Gravity,Domestic standpipe,Functional,-7.163479033,38.904577777
Coast,Kisarawe,Kibuta,Masanganya,Gravity,Domestic standpipe,Functional,-7.163336295,38.904178110
Coast,Kisarawe,Kibuta,Masanganya,Gravity,Hand pump,Not functional,-7.159966690,38.909970669
Coast,Kisarawe,Kibuta,Masanganya,Gravity,Hand pump,Not functional,-7.203226033,38.920171956
Coast,Kisarawe,Kibuta,Masanganya,India Mark III,Hand pump,Not functional,-7.196354936,38.907759368
Coast,Kisarawe,Kibuta,Masanganya,India Mark III,Hand pump,Functional,-7.164112080,38.900330026
Coast,Kisarawe,Kibuta,Chang'ombe B,India Mark III,Hand pump,Not functional,-7.160256725,38.868659701
Coast,Kisarawe,Kibuta,Chang'ombe B,Nira/Tanira,Hand pump,Not functional,-7.161553254,38.868100498
Coast,Kisarawe,Kibuta,Chang'ombe B,Nira/Tanira,Hand pump,Not functional,-7.162955978,38.867927415
Coast,Kisarawe,Kibuta,Mhaga,Gravity,Domestic standpipe,Functional,-7.118909478,38.874442042
Coast,Kisarawe,Kibuta,Mhaga,India mark II,Hand pump,Not functional,-7.122128748,38.877353911
Coast,Kisarawe,Marumbo,Chang'ombe A,India Mark III,Hand pump,Functional,-7.160490723,38.863214916
Coast,Kisarawe,Marumbo,Chang'ombe A,Nira/Tanira,Hand pump,Not functional,-7.165410136,38.862873616
Coast,Kisarawe,Marumbo,Chang'ombe A,Others,Others,Not functional,-7.167395151,38.857326532
Coast,Kisarawe,Marumbo,Mfuru,Nira/Tanira,Hand pump,Not functional,-7.164786827,38.846344473
Coast,Kisarawe,Marumbo,Mfuru Kivukoni,Nira/Tanira,Hand pump,Not functional,-7.161366862,38.841653182
Coast,Kisarawe,Marumbo,Mfuru Kivukoni,India Mark III,Hand pump,Not functional,-7.180754461,38.837429094
Coast,Kisarawe,Marumbo,Kikwete,India Mark III,Hand pump,Functional,-7.202100834,38.827939684
Coast,Kisarawe,Marumbo,Kikwete,India Mark III,Hand pump,Not functional,-7.198649513,38.829085743
Coast,Kisarawe,Marumbo,Kikwete,Play pump,Hand pump,Not functional,-7.196161797,38.832662822
Coast,Kisarawe,Marumbo,Kikwete,India mark II,Hand pump,Not functional,-7.191411426,38.834482742
Coast,Kisarawe,Marumbo,Kikwete,India Mark III,Hand pump,Not functional,-7.191909729,38.834916003
Coast,Kisarawe,Marumbo,Kikwete,None,Others,Not functional,-7.191868656,38.834837645
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.543115259,39.130827106
Coast,Rufiji,Mjawa,Jaribu mpakani,Gravity,Domestic standpipe m,Not functional,-7.546067463,39.135790363
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.547228318,39.128653548
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.550026076,39.129009193
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.546352584,39.130874857
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.540755668,39.136051659
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.538613458,39.131997821
Coast,Rufiji,Mjawa,Jaribu mpakani,Mono,Domestic standpipe m,Not functional,-7.538578629,39.130375390
Coast,Rufiji,Mjawa,Jaribu mpakani,Mono,Domestic standpipe m,Not functional,-7.541697438,39.129091834
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.548665133,39.120236615
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.550612455,39.124162269
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.547206359,39.126560390
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.544821094,39.126006678
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.542950689,39.125491995
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.541462160,39.126905755
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe m,Not functional,-7.538225686,39.126798010
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.533615508,39.126230060
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.540719830,39.124706901
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.537715313,39.122726673
Coast,Rufiji,Mjawa,Jaribu mpakani,Afridev,Hand pump,Not functional,-7.537720858,39.122695321
Coast,Rufiji,Mjawa,Jaribu mpakani,Afridev,Hand pump,Not functional,-7.538150732,39.101157487
Coast,Rufiji,Mjawa,Jaribu mpakani,None,Others,Not functional,-7.538476600,39.102024465
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Functional,-7.541181701,39.127733832
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Not functional,-7.544018727,39.127857239
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Functional,-7.544859078,39.126793084
Coast,Rufiji,Mjawa,Uponda Uchembe,Submersible,Domestic standpipe,Not functional,-7.591503608,39.141635997
Coast,Rufiji,Mjawa,Mjawa,Submersible,Domestic standpipe,Not functional,-7.564744611,39.141658117
Coast,Rufiji,Mjawa,Mjawa,Gravity,Hand pump,Not functional,-7.566980256,39.155533263
Coast,Kisarawe,Marumbo,Marumbo,India Mark III,Hand pump,Functional,-7.151439585,38.814257552
Coast,Kisarawe,Marumbo,Marumbo,India mark II,Hand pump,Not functional,-7.150483454,38.825429251
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Domestic standpipe,Not functional,-7.143820405,38.830105401
Coast,Kisarawe,Marumbo,Marumbo,None,Domestic standpipe,Not functional,-7.142413273,38.831745826
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Hand pump,Functional,-7.140762618,38.833317471
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Hand pump,Functional,-7.140337764,38.833457217
Coast,Kisarawe,Marumbo,Marumbo,Play pump,Hand pump,Not functional,-7.141830928,38.834243184
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Hand pump,Functional,-7.140053685,38.834592084
Coast,Kisarawe,Marumbo,Marumbo,Submersible,Hand pump,Functional,-7.136417347,38.830270628
Coast,Kisarawe,Marumbo,Marumbo,Submersible,Hand pump,Functional,-7.136172860,38.830260198
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Domestic standpipe,Not functional,-7.137114426,38.827714368
Coast,Kisarawe,Marumbo,Marumbo,Gravity,Hand pump,Functional,-7.136433443,38.829121908
Coast,Kisarawe,Marumbo,Marumbo,Nira/Tanira,Hand pump,Not functional,-7.144544233,38.837185014
Coast,Kisarawe,Marumbo,Palaka,None,Others,Functional,-7.133887091,38.791591808
Coast,Kisarawe,Marumbo,Kitonga Mango,Play pump,Hand pump,Not functional,-7.171464362,38.797167440
Coast,Kisarawe,Marumbo,Kitonga Mango,Gravity,Domestic standpipe,Not functional,-7.164061135,38.798357564
Coast,Kisarawe,Marumbo,Kitonga Mango,Nira/Tanira,Hand pump,Not functional,-7.162372091,38.813582855
Coast,Kisarawe,Maneromango,Maneromango,India Mark III,Hand pump,Not functional,-7.206663375,38.790301282
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Domestic standpipe,Not functional,-7.205124820,38.784494462
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Hand pump,Not functional,-7.204862957,38.783468251
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Domestic standpipe,Not functional,-7.203862170,38.783142613
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Hand pump,Not functional,-7.203342745,38.782466399
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Domestic standpipe,Functional,-7.204272827,38.780440058
Coast,Kisarawe,Maneromango,Maneromango,India mark II,Hand pump,Not functional,-7.204287235,38.780321864
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Domestic standpipe,Functional,-7.206914526,38.779488122
Coast,Kisarawe,Maneromango,Maneromango,Gravity,Domestic standpipe,Functional,-7.206930375,38.779465796
Coast,Kisarawe,Maneromango,Maneromango,India Mark III,Hand pump,Functional,-7.202438194,38.780649649
Coast,Kisarawe,Maneromango,Msegamo,Gravity,Domestic standpipe,Not functional,-7.188279527,38.805781195
Coast,Kisarawe,Maneromango,Msegamo,India Mark III,Hand pump,Not functional,-7.189733156,38.810188278
Coast,Kisarawe,Maneromango,Msegamo,India Mark III,Hand pump,Not functional,-7.195814818,38.805365896
Coast,Rufiji,Mwambao,Mkenda,Afridev,Hand pump,Not functional,-7.564349644,39.198567352
Coast,Rufiji,Mwambao,Kivinja B,Afridev,Hand pump,Not functional,-7.586223056,39.198072954
Coast,Rufiji,Mwambao,Kivinja A,Nira/Tanira,Hand pump,Not functional,-7.598881215,39.248620999
Coast,Rufiji,Mwambao,Kivinja A,Submersible,Domestic standpipe,Not functional,-7.598891334,39.248611155
Coast,Rufiji,Mwambao,Kivinja A,Gravity,Hand pump,Functional,-7.598891318,39.248667987
Coast,Rufiji,Mwambao,Kivinja A,Gravity,Domestic standpipe,Not functional,-7.599280334,39.249256355
Coast,Rufiji,Mwambao,Kivinja A,Nira/Tanira,Domestic standpipe,Not functional,-7.600330282,39.248559314
Coast,Rufiji,Mwambao,Kivinja A,Afridev,Hand pump,Not functional,-7.601071556,39.248269176
Coast,Rufiji,Mwambao,Msindaji,Afridev,Hand pump,Not functional,-7.638439686,39.261596201
Coast,Rufiji,Mwambao,Msindaji,Nira/Tanira,Hand pump,Not functional,-7.640818055,39.262847877
Coast,Rufiji,Mwambao,Msindaji,Submersible,Domestic standpipe,Not functional,-7.657193231,39.269493781
Coast,Rufiji,Mwambao,Mchungu,Afridev,Hand pump,Not functional,-7.713205102,39.283883668
Coast,Rufiji,Mjawa,Jaribu mpakani,Submersible,Domestic standpipe,Functional,-7.572710902,39.108076110
Coast,Rufiji,Mjawa,Jaribu mpakani,Nira/Tanira,Hand pump,Not functional,-7.549241442,39.095997598
Coast,Rufiji,Mahege,Nyanjai,Submersible,Domestic standpipe m,Not functional,-7.683638860,39.207201553
Coast,Rufiji,Mahege,Nyanjati,Nira/Tanira,Hand pump,Not functional,-7.685522069,39.207180078
Coast,Rufiji,Mahege,Nyanjati,Submersible,Hand pump,Not functional,-7.687258243,39.206240440
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.687284707,39.205738407
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.686530024,39.206600373
Coast,Rufiji,Mahege,Nyanjati,Gravity,Domestic standpipe,Not functional,-7.687016099,39.207649481
Coast,Rufiji,Mahege,Nyanjati,Submersible,Domestic standpipe,Not functional,-7.685071797,39.206171731
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.685203097,39.205049044
Coast,Rufiji,Mahege,Nyanjati,Submersible,Hand pump,Functional,-7.684852534,39.204975725
Coast,Rufiji,Mahege,Nyanjati,Submersible,Domestic standpipe m,Not functional,-7.683985510,39.204862330
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.683862797,39.205999685
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.683529758,39.208239437
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.684702953,39.208393343
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.683238618,39.204093992
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.682355233,39.204659320
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.681917510,39.204839186
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.681321105,39.204528154
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe m,Not functional,-7.681030545,39.205419289
Coast,Rufiji,Mahege,Nyanjati,Mono,Domestic standpipe,Not functional,-7.680969656,39.206323580
Coast,Rufiji,Mahege,Nyanjati,Afridev,Hand pump,Functional,-7.682170794,39.206527383
Coast,Rufiji,Mahege,Nyanjati,Mono,Hand pump,Not functional,-7.682275446,39.205786788
Coast,Rufiji,Mahege,Mahege,Submersible,Domestic standpipe m,Not functional,-7.658882997,39.188762818
Coast,Rufiji,Mahege,Mahege,Afridev,Hand pump,Functional,-7.656749195,39.187708509
Coast,Rufiji,Mahege,Kitomono,Submersible,Domestic standpipe m,Not functional,-7.629304157,39.166860806
Coast,Rufiji,Mahege,Kitomoni,Gravity,Domestic standpipe m,Not functional,-7.629125638,39.166777199
Coast,Kisarawe,Maneromango,Mengwa,Play pump,Hand pump,Not functional,-7.203941956,38.811772900
Coast,Kisarawe,Maneromango,Mengwa,Nira/Tanira,Hand pump,Not functional,-7.199126164,38.814937903
Coast,Kisarawe,Maneromango,Mengwa,India Mark III,Hand pump,Not functional,-7.209234988,38.803082292
Coast,Kisarawe,Maneromango,Maneromango  Kaskazini,Gravity,Domestic standpipe,Not functional,-7.182880490,38.787127409
Coast,Kisarawe,Maneromango,Maneromango  Kaskazini,Gravity,Hand pump,Not functional,-7.176490599,38.794742535
Coast,Kisarawe,Maneromango,Maneromango Kaskazini,Gravity,Domestic standpipe,Not functional,-7.179423862,38.792560111
Coast,Kisarawe,Maneromango,Maneromango  Kaskazini,Gravity,Domestic standpipe,Not functional,-7.194851145,38.776657440
Coast,Kisarawe,Maneromango,Maneromango Kaskazini,Gravity,Domestic standpipe,Not functional,-7.197396013,38.776764218
Coast,Kisarawe,Maneromango,Maneromango Kaskazini,India Mark III,Hand pump,Not functional,-7.196774513,38.777927835
Coast,Kisarawe,Maneromango,Maneromango  Kaskazini,Gravity,Domestic standpipe,Not functional,-7.197163221,38.778174629
Coast,Kisarawe,Maneromango,Maneromango Kaskazini,India mark II,Hand pump,Not functional,-7.196875846,38.779152560
Coast,Kisarawe,Maneromango,Boga,Gravity,Domestic standpipe,Functional,-7.196983928,38.779635010
Coast,Kisarawe,Maneromango,Maneromango Kaskazini,Gravity,Domestic standpipe,Not functional,-7.199459889,38.780117734
Coast,Kisarawe,Maneromango,Boga,Gravity,Domestic standpipe,Functional,-7.228472245,38.772476738
Coast,Kisarawe,Maneromango,Boga,Gravity,Hand pump,Functional,-7.213642054,38.794770985
Coast,Kisarawe,Maneromango,Boga,Gravity,Hand pump,Not functional,-7.220212464,38.785233246
Coast,Kisarawe,Maneromango,Boga,None,Others,Functional,-7.220739537,38.785097088
Coast,Kisarawe,Maneromango,Chale,Others,Others,Functional,-7.252195034,38.775156789
Coast,Kisarawe,Maneromango,Ngongele,None,Others,Functional,-7.248416361,38.812297502
Coast,Kisarawe,Marumbo,Masaki,Gravity,Domestic standpipe,Not functional,-7.248565233,38.812974121
Coast,Kisarawe,Marumbo,Ngongele,Gravity,Domestic standpipe,Not functional,-7.248392435,38.812697459
Coast,Kisarawe,Maneromango,Ngongele,Gravity,Domestic standpipe,Functional,-7.247205168,38.813306071
Coast,Kisarawe,Maneromango,Ngongele,Gravity,Domestic standpipe,Functional,-7.257334807,38.803640183
Coast,Rufiji,Mahege,Hanga,Mono,Domestic standpipe,Not functional,-7.658674059,39.147457640
Coast,Rufiji,Mahege,Hanga,Mono,Domestic standpipe m,Not functional,-7.658080683,39.148466710
Coast,Rufiji,Mahege,Hanga,Gravity,Hand pump,Functional,-7.657729032,39.147869036
Coast,Rufiji,Mahege,Hanga,Gravity,Hand pump,Not functional,-7.655536462,39.146942686
Coast,Rufiji,Mahege,Hanga,Mono,Domestic standpipe,Not functional,-7.657774191,39.142701833
Coast,Rufiji,Mahege,Haga,Gravity,Domestic standpipe,Functional,-7.660302308,39.143173941
Coast,Rufiji,Mahege,Mahege,Gravity,Hand pump,Not functional,-7.658692287,39.146365708
Coast,Rufiji,Mahege,Mahege,Gravity,Domestic standpipe,Functional,-7.658616021,39.146457233
Coast,Rufiji,Mahege,Mahege,Gravity,Domestic standpipe,Functional,-7.658162286,39.149375491
Coast,Rufiji,Mahege,Mahege,Gravity,Domestic standpipe,Not functional,-7.658262899,39.149430188
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.631559334,39.060978720
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.636276765,39.059642708
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Not functional,-7.636853741,39.059949193
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.636789344,39.060050535
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.635570829,39.058160990
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.641087497,39.055868129
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.644901980,39.052172430
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe m,Not functional,-7.636092530,39.055088118
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe m,Not functional,-7.633142550,39.057568775
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.630849085,39.057227538
Coast,Rufiji,Bungu,Bungu A,Gravity,Hand pump,Not functional,-7.633642632,39.058935153
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Not functional,-7.640262577,39.061627321
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Functional,-7.635009894,39.063873819
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Not functional,-7.660583860,39.057962967
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Functional,-7.653051328,39.063580723
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Not functional,-7.630874434,39.061090258
Coast,Rufiji,Bungu,Bungu A,Gravity,Domestic standpipe,Functional,-7.643707225,39.072593749
Coast,Rufiji,Bungu,Bungu A,Afridev,Hand pump,Not functional,-7.644156097,39.071152270
Coast,Rufiji,Bungu,Bungu B,Gravity,Domestic standpipe,Not functional,-7.629361206,39.063243497
Coast,Rufiji,Bungu,Bungu B,Gravity,Domestic standpipe,Functional,-7.624436831,39.064253243
Coast,Rufiji,Bungu,Bungu B,Gravity,Domestic standpipe,Not functional,-7.622740206,39.067564351
Coast,Rufiji,Bungu,Bungu B,Gravity,Domestic standpipe,Not functional,-7.619947304,39.066061300
Coast,Rufiji,Bungu,Msafiri,Gravity,Domestic standpipe,Not functional,-7.616323157,39.065382911
Coast,Rufiji,Bungu,Msafiri,Gravity,Hand pump,Functional,-7.621867235,39.063749189
Coast,Rufiji,Bungu,Msafiri,Gravity,Domestic standpipe,Not functional,-7.624105318,39.060058143
Coast,Rufiji,Bungu,Msafiri,Gravity,Domestic standpipe,Not functional,-7.627972595,39.056957072
Coast,Rufiji,Bungu,Msafiri,Afridev,Hand pump,Not functional,-7.629243281,39.059548208
Coast,Rufiji,Bungu,Msafiri,Gravity,Domestic standpipe,Not functional,-7.629123278,39.059528179
Coast,Kisarawe,Msanga,Mianzi,Nira/Tanira,Hand pump,Not functional,-7.299907379,38.771313730
Coast,Kisarawe,Msanga,Mianzi,Nira/Tanira,Hand pump,Not functional,-7.291327766,38.768778428
Coast,Kisarawe,Msanga,Msanga,India Mark III,Hand pump,Not functional,-7.258439098,38.769797407
Coast,Kisarawe,Msanga,Msanga,India Mark III,Hand pump,Functional,-7.263781061,38.769454815
Coast,Kisarawe,Msanga,Msanga,Afridev,Hand pump,Not functional,-7.268840368,38.766837080
Coast,Kisarawe,Msanga,Msanga,Nira/Tanira,Hand pump,Not functional,-7.271049888,38.773187825
Coast,Kisarawe,Msanga,Msanga,Play pump,Hand pump,Not functional,-7.270191254,38.773648524
Coast,Kisarawe,Msanga,Msanga,Gravity,Domestic standpipe,Functional,-7.270459540,38.767576491
Coast,Kisarawe,Msanga,Msanga,India Mark III,Hand pump,Functional,-7.282337403,38.770546804
Coast,Kisarawe,Msanga,Msanga,Gravity,Hand pump,Functional,-7.282313534,38.769458443
Coast,Kisarawe,Msanga,Bembeza,India Mark III,Hand pump,Not functional,-7.271083926,38.790974298
Coast,Kisarawe,Msanga,Bembeza,Nira/Tanira,Hand pump,Not functional,-7.269859705,38.792968380
Coast,Kisarawe,Msanga,Bembeza,India mark II,Hand pump,Not functional,-7.274412559,38.792138148
Coast,Kisarawe,Msanga,Visiga,Gravity,Domestic standpipe,Functional,-7.297794984,38.792304677
Coast,Kisarawe,Msanga,Visiga,Gravity,Domestic standpipe,Functional,-7.293841931,38.792267528
Coast,Kisarawe,Msanga,Visiga,Gravity,Domestic standpipe,Functional,-7.290405349,38.793658153
Coast,Kisarawe,Msanga,Visiga,Gravity,Hand pump,Functional,-7.283775607,38.796638685
Coast,Kisarawe,Marui,Marui Mngwata,Gravity,Hand pump,Functional,-7.372801916,38.777778142
Coast,Kisarawe,Marui,Kisangire,Gravity,Hand pump,Functional,-7.434921691,38.684494049
Coast,Kisarawe,Marui,Kisangire,Gravity,Hand pump,Not functional,-7.434930438,38.684706046
Coast,Kisarawe,Marui,Kisangire,Submersible,Domestic standpipe,Not functional,-7.435223892,38.684503868
Coast,Kisarawe,Marui,Kihare,Gravity,Domestic standpipe,Functional,-7.467597029,38.668222857
Coast,Rufiji,Ruaruke,Ruaruke A,Afridev,Hand pump,Functional,-7.754710186,39.157039786
Coast,Rufiji,Ruaruke,Ruaruke A,Afridev,Hand pump,Not functional,-7.750847883,39.164043140
Coast,Rufiji,Ruaruke,Ruaruke A,Afridev,Hand pump,Not functional,-7.768084502,39.157720365
Coast,Rufiji,Ruaruke,Ruaruke A,Afridev,Hand pump,Not functional,-7.746245189,39.179107688
Coast,Rufiji,Ruaruke,Ruaruke A,Gravity,Domestic standpipe,Not functional,-7.760024577,39.170346520
Coast,Rufiji,Ruaruke,Ruaruke A,Gravity,Domestic standpipe,Functional,-7.761943988,39.167842586
Coast,Rufiji,Ruaruke,Ruaruke A,Mono,Domestic standpipe,Not functional,-7.763869055,39.167107601
Coast,Rufiji,Ruaruke,Ruaruke A,Mono,Domestic standpipe,Functional,-7.765167341,39.170024081
Coast,Rufiji,Ruaruke,Ruaruke B,Mono,Domestic standpipe m,Not functional,-7.764202668,39.170955651
